Date,^GSPC,^RUT
2021-04-07,4079.949951171875,2223.050048828125
2021-04-08,4097.169921875,2242.60009765625
2021-04-09,4128.7998046875,2243.469970703125
2021-04-12,4127.990234375,2233.780029296875
2021-04-13,4141.58984375,2228.919921875
2021-04-14,4124.66015625,2247.719970703125
2021-04-15,4170.419921875,2257.070068359375
2021-04-16,4185.47021484375,2262.669921875
2021-04-19,4163.259765625,2232.0
2021-04-20,4134.93994140625,2188.2099609375
2021-04-21,4173.419921875,2239.6298828125
2021-04-22,4134.97998046875,2232.610107421875
2021-04-23,4180.169921875,2271.860107421875
2021-04-26,4187.6201171875,2298.010009765625
2021-04-27,4186.72021484375,2301.27001953125
2021-04-28,4183.18017578125,2304.159912109375
2021-04-29,4211.47021484375,2295.4599609375
2021-04-30,4181.169921875,2266.449951171875
2021-05-03,4192.66015625,2277.449951171875
2021-05-04,4164.66015625,2248.2900390625
2021-05-05,4167.58984375,2241.3701171875
2021-05-06,4201.6201171875,2241.419921875
2021-05-07,4232.60009765625,2271.6298828125
2021-05-10,4188.43017578125,2212.699951171875
2021-05-11,4152.10009765625,2206.989990234375
2021-05-12,4063.0400390625,2135.139892578125
2021-05-13,4112.5,2170.949951171875
2021-05-14,4173.85009765625,2224.6298828125
2021-05-17,4163.2900390625,2227.1201171875
2021-05-18,4127.830078125,2210.8798828125
2021-05-19,4115.68017578125,2193.639892578125
2021-05-20,4159.1201171875,2207.760009765625
2021-05-21,4155.85986328125,2215.27001953125
2021-05-24,4197.0498046875,2227.340087890625
2021-05-25,4188.1298828125,2205.75
2021-05-26,4195.990234375,2249.27001953125
2021-05-27,4200.8798828125,2273.070068359375
2021-05-28,4204.10986328125,2268.969970703125
2021-06-01,4202.0400390625,2294.739990234375
2021-06-02,4208.1201171875,2297.830078125
2021-06-03,4192.85009765625,2279.25
2021-06-04,4229.89013671875,2286.409912109375
2021-06-07,4226.52001953125,2319.179931640625
2021-06-08,4227.259765625,2343.760009765625
2021-06-09,4219.5498046875,2327.1298828125
2021-06-10,4239.18017578125,2311.409912109375
2021-06-11,4247.43994140625,2335.81005859375
2021-06-14,4255.14990234375,2326.14990234375
2021-06-15,4246.58984375,2320.070068359375
2021-06-16,4223.7001953125,2314.68994140625
2021-06-17,4221.85986328125,2287.4599609375
2021-06-18,4166.4501953125,2237.75
2021-06-21,4224.7900390625,2286.090087890625
2021-06-22,4246.43994140625,2295.949951171875
2021-06-23,4241.83984375,2303.469970703125
2021-06-24,4266.490234375,2333.6201171875
2021-06-25,4280.7001953125,2334.39990234375
2021-06-28,4290.60986328125,2322.340087890625
2021-06-29,4291.7998046875,2308.840087890625
2021-06-30,4297.5,2310.550048828125
2021-07-01,4319.93994140625,2329.360107421875
2021-07-02,4352.33984375,2305.760009765625
2021-07-06,4343.5400390625,2274.5
2021-07-07,4358.1298828125,2252.85009765625
2021-07-08,4320.81982421875,2231.679931640625
2021-07-09,4369.5498046875,2280.0
2021-07-12,4384.6298828125,2281.820068359375
2021-07-13,4369.2099609375,2238.860107421875
2021-07-14,4374.2998046875,2202.360107421875
2021-07-15,4360.02978515625,2190.2900390625
2021-07-16,4327.16015625,2163.239990234375
2021-07-19,4258.490234375,2130.679931640625
2021-07-20,4323.06005859375,2194.300048828125
2021-07-21,4358.68994140625,2234.0400390625
2021-07-22,4367.47998046875,2199.47998046875
2021-07-23,4411.7900390625,2209.64990234375
2021-07-26,4422.2998046875,2216.919921875
2021-07-27,4401.4599609375,2191.830078125
2021-07-28,4400.64013671875,2224.9599609375
2021-07-29,4419.14990234375,2240.030029296875
2021-07-30,4395.259765625,2226.25
2021-08-02,4387.16015625,2215.5
2021-08-03,4423.14990234375,2223.580078125
2021-08-04,4402.66015625,2196.320068359375
2021-08-05,4429.10009765625,2236.010009765625
2021-08-06,4436.52001953125,2247.760009765625
2021-08-09,4432.35009765625,2234.81005859375
2021-08-10,4436.75,2239.360107421875
2021-08-11,4442.41015625,2250.340087890625
2021-08-12,4460.830078125,2244.070068359375
2021-08-13,4468.0,2223.110107421875
2021-08-16,4479.7099609375,2209.47998046875
2021-08-17,4448.080078125,2177.169921875
2021-08-18,4400.27001953125,2158.780029296875
2021-08-19,4405.7998046875,2132.419921875
2021-08-20,4441.669921875,2167.60009765625
2021-08-23,4479.52978515625,2208.300048828125
2021-08-24,4486.22998046875,2230.909912109375
2021-08-25,4496.18994140625,2239.27001953125
2021-08-26,4470.0,2213.97998046875
2021-08-27,4509.3701171875,2277.14990234375
2021-08-30,4528.7900390625,2265.989990234375
2021-08-31,4522.68017578125,2273.77001953125
2021-09-01,4524.08984375,2287.06005859375
2021-09-02,4536.9501953125,2304.02001953125
2021-09-03,4535.43017578125,2292.050048828125
2021-09-07,4520.02978515625,2275.610107421875
2021-09-08,4514.06982421875,2249.72998046875
2021-09-09,4493.27978515625,2249.1298828125
2021-09-10,4458.580078125,2227.550048828125
2021-09-13,4468.72998046875,2240.780029296875
2021-09-14,4443.0498046875,2209.97998046875
2021-09-15,4480.7001953125,2234.449951171875
2021-09-16,4473.75,2232.909912109375
2021-09-17,4432.990234375,2236.8701171875
2021-09-20,4357.72998046875,2182.199951171875
2021-09-21,4354.18994140625,2186.179931640625
2021-09-22,4395.64013671875,2218.56005859375
2021-09-23,4448.97998046875,2259.0400390625
2021-09-24,4455.47998046875,2248.070068359375
2021-09-27,4443.10986328125,2281.0
2021-09-28,4352.6298828125,2229.780029296875
2021-09-29,4359.4599609375,2225.31005859375
2021-09-30,4307.5400390625,2204.3701171875
2021-10-01,4357.0400390625,2241.6298828125
2021-10-04,4300.4599609375,2217.469970703125
2021-10-05,4345.72021484375,2228.360107421875
2021-10-06,4363.5498046875,2214.9599609375
2021-10-07,4399.759765625,2250.090087890625
2021-10-08,4391.33984375,2233.090087890625
2021-10-11,4361.18994140625,2220.639892578125
2021-10-12,4350.64990234375,2234.27001953125
2021-10-13,4363.7998046875,2241.969970703125
2021-10-14,4438.259765625,2274.179931640625
2021-10-15,4471.3701171875,2265.64990234375
2021-10-18,4486.4599609375,2267.840087890625
2021-10-19,4519.6298828125,2275.909912109375
2021-10-20,4536.18994140625,2289.77001953125
2021-10-21,4549.77978515625,2296.179931640625
2021-10-22,4544.89990234375,2291.27001953125
2021-10-25,4566.47998046875,2312.639892578125
2021-10-26,4574.7900390625,2296.080078125
2021-10-27,4551.68017578125,2252.489990234375
2021-10-28,4596.419921875,2297.97998046875
2021-10-29,4605.3798828125,2297.18994140625
2021-11-01,4613.669921875,2358.1201171875
2021-11-02,4630.64990234375,2361.860107421875
2021-11-03,4660.56982421875,2404.280029296875
2021-11-04,4680.06005859375,2402.429931640625
2021-11-05,4697.52978515625,2437.080078125
2021-11-08,4701.7001953125,2442.739990234375
2021-11-09,4685.25,2427.2900390625
2021-11-10,4646.7099609375,2389.580078125
2021-11-11,4649.27001953125,2409.139892578125
2021-11-12,4682.85009765625,2411.780029296875
2021-11-15,4682.7998046875,2400.929931640625
2021-11-16,4700.89990234375,2405.02001953125
2021-11-17,4688.669921875,2377.010009765625
2021-11-18,4704.5400390625,2363.590087890625
2021-11-19,4697.9599609375,2343.159912109375
2021-11-22,4682.93994140625,2331.35009765625
2021-11-23,4690.7001953125,2327.860107421875
2021-11-24,4701.4599609375,2331.4599609375
2021-11-26,4594.6201171875,2245.93994140625
2021-11-29,4655.27001953125,2241.97998046875
2021-11-30,4567.0,2198.909912109375
2021-12-01,4513.0400390625,2147.419921875
2021-12-02,4577.10009765625,2206.330078125
2021-12-03,4538.43017578125,2159.31005859375
2021-12-06,4591.669921875,2203.47998046875
2021-12-07,4686.75,2253.7900390625
2021-12-08,4701.2099609375,2271.7099609375
2021-12-09,4667.4501953125,2220.2099609375
2021-12-10,4712.02001953125,2211.81005859375
2021-12-13,4668.97021484375,2180.5
2021-12-14,4634.08984375,2159.64990234375
2021-12-15,4709.85009765625,2195.2099609375
2021-12-16,4668.669921875,2152.4599609375
